title,subject,type,id,family_name,given_name
Ueber Dehydracetsäure.,Chemie,Habilitation,b62f6516-cdcd-77a6-c042-4d4c6021e4a6,Feist,Franz
Nietzsches Wettkampf mit Sokrates und Platon.,Philosophie,Dissertation,4eae1476-9b37-481d-1700-4d4c608b0f62,Hildebrandt,Kurt Florentin
,Medizin,Dissertation,4eae1476-9b37-481d-1700-4d4c608b0f62,Hildebrandt,Kurt Florentin
,Pharmazeutische Chemie,Habilitation,e23400b8-bbdf-7f84-be33-4e36ba887946,Schultz,Otto Erich
"Volksbrauch, Volksglaube und Biologie: Versuch einer Zusammenschau.",Pharmazeutische Chemie,Dissertation,e23400b8-bbdf-7f84-be33-4e36ba887946,Schultz,Otto Erich
Halleffekt des Bismut bei hohen Temperaturen.,Physik,Dissertation,eb9c650c-dec8-4d34-7b77-4d4c6034b254,Freiherr Rausch von Traubenberg,Heinrich August Adolf Julius
Beiträge zur Strahlung und zur Energieverteilung beim elektrischen Entladungsfunken hoher Frequenzen.,Physik,Habilitation,eb9c650c-dec8-4d34-7b77-4d4c6034b254,Freiherr Rausch von Traubenberg,Heinrich August Adolf Julius
,Physiologie und Embryologie,Habilitation,d72286d3-b936-2ff8-4684-4d8725d8f958,Hensen,Christian Andreas Victor
De urinae excretione in epilepsia.,Medizin,,d72286d3-b936-2ff8-4684-4d8725d8f958,Hensen,Christian Andreas Victor
,Zoologie,Dissertation,62e4dc67-98bf-450f-803d-76d1ee306fb7,Pütter,August
,Physiologie,Habilitation,62e4dc67-98bf-450f-803d-76d1ee306fb7,Pütter,August
Formen des posttraumatischen Kopfschmerzes. Der neuralgische Schmerz,Chirurgie und Neurochirurgie,Habilitation,b1f0fa09-8468-42e2-7282-4ea00b80f0b0,Bues,Elmar Ernst
Die Häufigkeit des vorzeitigen Blasensprunges,Medizin,Dissertation,b1f0fa09-8468-42e2-7282-4ea00b80f0b0,Bues,Elmar Ernst
Untersuchungen zu Aretaios von Kappadokien.,Geschichte der antiken Medizin,,456bc381-319f-66ce-9f1e-4eb3e944349a,Kudlien,Fridolf Albert Ferdinand
